Image1,Image2,Chosen,NotChosen,Rank_diff
168.jpg,102.jpg,102.jpg,168.jpg,1.1560693641618498
150.jpg,94.jpg,150.jpg,94.jpg,0.7167630057803468
41.jpg,66.jpg,66.jpg,41.jpg,1.953757225433526
70.jpg,160.jpg,160.jpg,70.jpg,1.1445086705202312
112.jpg,139.jpg,112.jpg,139.jpg,1.5953757225433527
25.jpg,96.jpg,25.jpg,96.jpg,1.0867052023121386
76.jpg,145.jpg,76.jpg,145.jpg,1.861271676300578
45.jpg,129.jpg,45.jpg,129.jpg,1.8497109826589595
95.jpg,79.jpg,95.jpg,79.jpg,1.8728323699421965
54.jpg,143.jpg,143.jpg,54.jpg,1.1445086705202312
53.jpg,169.jpg,169.jpg,53.jpg,1.3872832369942196
113.jpg,138.jpg,113.jpg,138.jpg,1.5491329479768785
126.jpg,147.jpg,126.jpg,147.jpg,1.653179190751445
97.jpg,83.jpg,97.jpg,83.jpg,1.8150289017341041
11.jpg,152.jpg,11.jpg,152.jpg,1.4450867052023122
90.jpg,168.jpg,168.jpg,90.jpg,1.8150289017341041
47.jpg,129.jpg,47.jpg,129.jpg,1.283236994219653
55.jpg,98.jpg,55.jpg,98.jpg,1.4104046242774566
161.jpg,160.jpg,161.jpg,160.jpg,1.8034682080924855
23.jpg,56.jpg,56.jpg,23.jpg,1.722543352601156
89.jpg,172.jpg,89.jpg,172.jpg,1.676300578034682
41.jpg,150.jpg,150.jpg,41.jpg,0.18497109826589594
73.jpg,53.jpg,73.jpg,53.jpg,1.4566473988439306
100.jpg,165.jpg,165.jpg,100.jpg,1.6878612716763006
64.jpg,85.jpg,85.jpg,64.jpg,1.6878612716763006
108.jpg,68.jpg,108.jpg,68.jpg,0.6936416184971098
106.jpg,42.jpg,42.jpg,106.jpg,1.6184971098265897
67.jpg,115.jpg,67.jpg,115.jpg,1.560693641618497
69.jpg,94.jpg,94.jpg,69.jpg,1.6416184971098267
55.jpg,5.jpg,5.jpg,55.jpg,1.699421965317919
89.jpg,167.jpg,89.jpg,167.jpg,1.0057803468208093
37.jpg,72.jpg,72.jpg,37.jpg,1.6184971098265897
20.jpg,103.jpg,20.jpg,103.jpg,1.5722543352601157
14.jpg,41.jpg,14.jpg,41.jpg,0.4161849710982659
127.jpg,88.jpg,88.jpg,127.jpg,1.4797687861271676
117.jpg,10.jpg,10.jpg,117.jpg,1.5722543352601157
141.jpg,19.jpg,19.jpg,141.jpg,1.606936416184971
142.jpg,173.jpg,173.jpg,142.jpg,1.606936416184971
162.jpg,45.jpg,162.jpg,45.jpg,1.5953757225433527
70.jpg,30.jpg,30.jpg,70.jpg,0.8439306358381503
77.jpg,95.jpg,95.jpg,77.jpg,0.49710982658959535
